Type,Millis,Data1,Data2,Data3,Data4,Data5,Data6
IMU,32969,31,773,744,-7,-8,5
IMU,32979,32,770,746,-7,-8,5
IMU,32989,33,766,748,-7,-8,4
IMU,32999,31,766,743,-7,-7,4
IMU,33008,28,768,733,-7,-7,4
IMU,33018,28,766,727,-7,-7,3
IMU,33028,24,768,721,-6,-7,3
IMU,33038,16,767,723,-6,-6,3
IMU,33047,15,763,721,-6,-7,3
IMU,33057,16,760,720,-6,-6,2
IMU,33067,22,760,723,-6,-6,2
IMU,33077,26,761,726,-7,-6,2
IMU,33086,31,760,734,-7,-5,1
IMU,33096,32,758,731,-6,-5,1
IMU,33106,35,759,731,-6,-4,0
IMU,33116,43,759,735,-6,-4,0
IMU,33125,48,759,735,-6,-4,0
IMU,33135,48,756,733,-6,-3,-1
IMU,33145,44,753,732,-6,-3,-1
IMU,33155,44,754,730,-6,-2,-2
IMU,33165,42,753,726,-6,-2,-2
IMU,33174,40,751,722,-6,-2,-2
IMU,33184,40,748,715,-6,-2,-2
IMU,33194,39,744,717,-6,-2,-2
IMU,33204,38,744,713,-6,-2,-2
IMU,33213,38,744,714,-6,-2,-2
IMU,33223,39,743,710,-6,-2,-2
IMU,33233,39,742,714,-6,-2,-2
IMU,33243,35,741,711,-6,-2,-2
IMU,33252,39,740,708,-6,-2,-2
IMU,33262,39,736,714,-6,-3,-2
IMU,33272,40,734,715,-6,-3,-1
IMU,33282,41,733,719,-6,-3,-1
IMU,33291,41,731,716,-6,-3,-1
IMU,33301,42,731,715,-6,-3,-1
IMU,33311,41,732,713,-6,-3,-1
IMU,33321,39,731,713,-6,-3,-1
IMU,33331,40,730,713,-6,-3,-1
IMU,33340,35,735,713,-6,-3,-1
IMU,33350,35,734,715,-6,-3,-2
IMU,33360,37,735,716,-6,-3,-2
IMU,33370,35,737,711,-6,-2,-2
IMU,33379,34,739,716,-6,-2,-2
IMU,33389,33,743,715,-6,-2,-2
IMU,33399,33,744,717,-6,-2,-2
IMU,33409,34,747,719,-6,-2,-2
IMU,33418,38,752,721,-6,-2,-2
IMU,33428,36,755,724,-6,-2,-2
IMU,33438,33,754,723,-6,-2,-3
IMU,33448,32,755,723,-6,-2,-3
IMU,33458,35,758,724,-6,-2,-3
IMU,33467,31,762,724,-6,-2,-3
IMU,33477,25,762,720,-6,-2,-3
IMU,33487,20,763,719,-6,-2,-2
IMU,33497,18,763,720,-6,-2,-2
IMU,33506,16,763,720,-6,-3,-2
IMU,33516,20,766,719,-6,-3,-1
IMU,33526,21,767,717,-6,-3,-1
IMU,33536,17,761,720,-6,-4,0
IMU,33545,18,754,720,-6,-4,0
IMU,33555,20,755,725,-6,-5,0
IMU,33565,22,763,728,-6,-5,0
IMU,33575,25,769,727,-6,-5,0
IMU,33584,26,771,726,-6,-5,0
IMU,33594,29,769,724,-6,-5,0
IMU,33604,28,765,724,-6,-5,0
IMU,33614,24,763,723,-6,-5,0
IMU,33624,30,764,729,-6,-5,1
IMU,33633,32,761,726,-6,-5,1
IMU,33643,36,761,726,-6,-5,1
IMU,33653,39,760,723,-6,-6,1
IMU,33663,40,759,724,-6,-6,1
IMU,33672,39,758,720,-6,-6,1
IMU,33682,43,757,727,-6,-6,1
IMU,33692,43,757,728,-6,-6,1
IMU,33702,42,758,730,-7,-6,1
IMU,33711,37,757,727,-7,-6,1
IMU,33721,34,757,730,-7,-6,1
IMU,33731,37,755,729,-7,-6,1
IMU,33741,39,758,730,-7,-6,1
IMU,33750,41,762,734,-7,-6,1
IMU,33760,33,767,727,-7,-6,1
IMU,33770,31,768,724,-7,-6,1
IMU,33780,26,767,723,-7,-6,0
IMU,33790,33,766,731,-7,-6,0
IMU,33799,39,762,731,-7,-5,0
IMU,33809,37,761,734,-6,-5,0
IMU,33819,35,763,731,-6,-5,0
IMU,33829,33,764,727,-6,-5,0
IMU,33838,40,765,727,-6,-5,0
IMU,33848,48,763,725,-6,-5,0
IMU,33858,48,759,724,-6,-4,0
IMU,33868,43,758,721,-6,-4,-1
IMU,33877,38,756,720,-6,-4,-1
IMU,33887,38,754,718,-6,-5,0
IMU,33897,40,755,720,-6,-5,0
IMU,33907,39,752,717,-7,-5,0
IMU,33916,38,753,718,-7,-5,0
IMU,33926,39,753,716,-7,-6,0
IMU,33936,37,758,719,-7,-6,0
IMU,33946,37,759,721,-7,-6,0
IMU,33956,37,761,719,-7,-7,0
IMU,33965,39,763,721,-7,-7,1
IMU,33975,38,763,721,-7,-7,1
IMU,33985,35,763,722,-7,-7,1
IMU,33995,32,762,727,-7,-8,1
IMU,34004,34,761,729,-7,-8,2
IMU,34014,35,759,726,-7,-8,2
IMU,34024,34,760,725,-7,-8,2
IMU,34034,34,762,722,-7,-8,2
IMU,34043,31,762,724,-7,-8,2
IMU,34053,28,761,718,-7,-8,2
IMU,34063,30,759,719,-7,-8,2
IMU,34073,29,754,718,-7,-8,2
IMU,34083,29,751,722,-7,-8,2
IMU,34092,27,748,719,-7,-8,2
IMU,34102,32,749,720,-7,-8,2
IMU,34112,35,749,722,-7,-8,1
IMU,34122,37,748,721,-7,-7,1
